Hugo Lloris
Lilian Thuram
Olivier Giroud
Antoine Griezmann
Thierry Henry
Marcel Desailly
Zinédine Zidane
Patrick Vieira
Didier Deschamps
Karim Benzema
Laurent Blanc
Bixente Lizarazu
Raphaël Varane
Sylvain Wiltord
Paul Pogba
Kylian Mbappé
Fabien Barthez
William Gallas
Blaise Matuidi
Manuel Amoros
Youri Djorkaeff
Patrice Évra
Franck Ribéry
Florent Malouda
Robert Pirès
Maxime Bossis
Michel Platini
Claude Makélélé
Moussa Sissoko
David Trezeguet
Nicolas Anelka
Éric Abidal
Bacary Sagna
Marius Trésor
N'Golo Kanté
Roger Marche
Emmanuel Petit
Luis Fernandez
Kingsley Coman
Robert Jonquet
Henri Michel
Willy Sagnol
Patrick Battiston
Ousmane Dembélé
Christophe Dugarry
Benjamin Pavard
Jean-Pierre Papin
Christian Karembeu
Adrien Rabiot
Lucas Digne
