✅Adrien Rabiot
✅Antoine Griezmann
✅Bacary Sagna
✅Benjamin Pavard
✅Bixente Lizarazu
✅Blaise Matuidi
✅Christian Karembeu
✅Christophe Dugarry
✅Claude Makélélé
✅David Trezeguet
✅Didier Deschamps
✅Emmanuel Petit
✅Fabien Barthez
✅Florent Malouda
✅Franck Ribéry
✅Henri Michel (football)
✅Hugo Lloris
✅Jean-Pierre Papin
✅Karim Benzema
✅Kingsley Coman
✅Kylian Mbappé
✅Laurent Blanc
✅Lilian Thuram
✅Lucas Digne
✅Luis Fernandez (football)
✅Manuel Amoros
✅Marcel Desailly
✅Marius Trésor
✅Maxime Bossis
✅Michel Platini
✅Moussa Sissoko
✅N'Golo Kanté
✅Nicolas Anelka
✅Olivier Giroud
✅Ousmane Dembélé
✅Patrice Évra
✅Patrick Battiston
✅Patrick Vieira
✅Paul Pogba
✅Raphaël Varane
✅Robert Jonquet
✅Robert Pirès
✅Roger Marche
✅Sylvain Wiltord
✅Thierry Henry
✅William Gallas
✅Willy Sagnol
✅Youri Djorkaeff
✅Zinédine Zidane
✅Éric Abidal
